point ID,X,Y
0,585623.7717170436,7910256.255730867
1,585619.5892939409,7910254.015147064
2,585614.5106373178,7910255.210125096
3,585616.7512211213,7910269.54986145
4,585622.7261112696,7910270.14735046
5,585608.8344916767,7910255.210125096
6,585604.3533240641,7910262.529365525
7,585615.854987599,7910271.043583985
8,585601.5152512453,7910268.205511168
9,585607.340769141,7910273.73228455
10,585615.4068708373,7910275.972868353
11,585650.658722708,7910265.964927364
12,585634.3144010855,7910269.239450287
13,585629.2092433292,7910280.699202117
14,585636.0069828937,7910284.27225595
15,585647.6712776339,7910284.038970057
16,585651.1068394678,7910278.064079914
17,585649.7624891838,7910257.151964389
18,585641.8336918335,7910257.028076932
19,585635.7214973373,7910249.68335171
20,585634.9746360695,7910254.762008332
21,585628.8503736695,7910253.716402564
22,585616.0043598525,7910282.993364282
23,585625.9457890624,7910281.266181242
24,585603.4570905445,7910282.097130753
25,585595.9884778596,7910278.661568917
26,585636.468358608,7910292.10507175
27,585643.6382267829,7910300.918034721
28,585651.8537007347,7910295.839378096
29,585627.8047678927,7910287.922648646
30,585630.1947239516,7910290.312604707
31,585616.3031043597,7910293.300049782
32,585625.8629285963,7910295.540633585
33,585601.5152512453,7910287.773276396
34,585600.6190177239,7910295.690005843
35,585607.0420246329,7910297.930589646
36,585593.4491495481, 7910285.8314371
37,585590.7604489811,7910294.943144571
38,585643.7875990374,7910305.399202328
39,585641.4433333147,7910309.883884579
40,585648.8662556615,7910315.855260085
41,585659.3223134186,7910311.374092478
42,585658.1273353882,7910305.697946839
43,585634.2277748017,7910300.469917964
44,585634.8252638159,7910309.880369939
45,585648.4181389026,7910323.921361785
46,585654.9905180633,7910326.012573339
47,585663.8034810293,7910320.635172203
48,585637.6633366356,7910316.751493614
49,585637.6633366356,7910321.830150235
50,585645.9753195019,7910323.446369126
51,585605.5483020954,7910308.984136418
52,585593.1504050419,7910311.374092478
53,585601.6646234998,7910314.361537553
54,585611.5231922427,7910320.635172203
55,585627.6553956401,7910321.531405725
56,585631.2403297294,7910327.058179114
57,585599.4240396935,7910317.498354875
58,585598.883384686,7910323.926142223
59,585598.0796894105,7910333.481186021
60,585606.7547702985,7910335.216202203
61,585618.2449436588,7910337.514236871
62,585623.9210892972,7910329.298762918
63,585585.8311646096,7910314.80965431
64,585591.0591934882,7910324.96696756
65,585578.9600409409,7910316.004632339
66,585586.2792813713,7910328.551901646
67,585566.5621438846,7910307.191669371
68,585566.412771632,7910302.11301275
69,585554.3136190828,7910304.801713314
70,585549.6830792204,7910310.925975718
71,585561.4834872605,7910329.746879678
72,585543.4094445659,7910308.237275146
73,585541.4771343609,7910319.370253831
74,585540.5000000009,      7910324.75
75,585544.7537948489,7910334.377419543
76,585550.4299404873, 7910336.7673756
77,585518.655411155,7910311.033587277
78,585514.4729880504,7910314.91726587
79,585519.360511723,7910335.423025317
80,585532.9533868069,7910331.389974467
81,585652.8993065096,7910339.605448421
82,585662.3097584937,7910343.489127021
83,585664.6997145526,7910330.792485453
84,585640.0532926945,7910333.630558282
85,585651.5549562275,7910346.327199839
86,585635.7214973364, 7910338.7092149
