FID,POLYGON_ME,X,Y,F2013LIDAR
0,911,"585,792.877188000010000","7,910,762.093249999900000",5.138999938960000
1,904,"585,808.752220000020000","7,910,760.823250000400000",5.086999893190000
2,900,"585,822.880998000040000","7,910,758.759499999700000",5.125999927520000
3,899,"585,812.720977999970000","7,910,758.283250000300000",4.964000225070000
4,903,"585,797.480947999980000","7,910,755.584490000300000",5.070000171660000
5,910,"585,783.193419000020000","7,910,754.314489999800000",5.143000125890000
6,901,"585,826.691006000040000","7,910,753.520739999600000",5.143000125890000
7,909,"585,782.399667000050000","7,910,748.916980000200000",5.072999954220000
8,902,"585,797.163446999970000","7,910,748.123230000000000",4.991000175480000
9,895,"585,824.627252000030000","7,910,747.488230000300000",5.100999832150000
10,898,"585,806.688466000020000","7,910,744.789470000200000",5.007999897000000
11,896,"585,831.771015999960000","7,910,744.313219999900000",5.100999832150000
12,933,"585,762.873377999990000","7,910,742.249470000200000",5.205999851230000
13,907,"585,798.909700999970000","7,910,740.185709999900000",5.039000034330000
14,894,"585,813.990981000010000","7,910,738.756959999900000",5.086999893190000
15,908,"585,789.384681000030000","7,910,737.010700000500000",5.063000202180000
16,897,"585,830.024762999960000","7,910,734.470700000400000",5.105999946590000
17,886,"585,847.487298000020000","7,910,732.883200000000000",4.855999946590000
18,932,"585,778.386728000010000","7,910,732.594859999600000",5.117000103000000
19,885,"585,838.597279999990000","7,910,732.565700000200000",4.980000019070000
20,893,"585,826.214754999960000","7,910,731.771940000400000",5.116000175480000
21,892,"585,819.070991000040000","7,910,730.025689999600000",4.900000095370000
22,935,"585,743.823340000000000","7,910,729.708189999700000",5.293000221250000
23,926,"585,752.713358000040000","7,910,728.755690000000000",5.283999919890000
24,927,"585,768.429639999990000","7,910,728.596939999600000",5.083000183110000
25,884,"585,833.041019000000000","7,910,727.168180000000000",5.081999778750000
26,887,"585,850.027302999980000","7,910,727.168180000000000",4.905000209810000
27,906,"585,800.814704000020000","7,910,726.374429999900000",5.008999824520000
28,928,"585,770.810893999990000","7,910,722.088170000400000",5.261000156400000
29,891,"585,816.054735000010000","7,910,721.135669999800000",5.106999874110000
30,925,"585,766.207135000030000","7,910,719.548170000300000",5.278999805450000
31,941,"585,736.044574999950000","7,910,719.071920000000000",5.412000179290000
32,934,"585,743.029589000040000","7,910,717.643170000100000",5.302999973300000
33,924,"585,753.348359000050000","7,910,716.373160000000000",5.235000133510000
34,905,"585,809.069721000040000","7,910,716.214409999500000",5.164000034330000
35,890,"585,822.976249000060000","7,910,715.103160000400000",5.162000179290000
36,883,"585,849.253067999960000","7,910,714.626910000100000",4.886000156400000
37,888,"585,831.459360999990000","7,910,714.529299999600000",4.899000167850000
38,879,"585,854.472312000000000","7,910,713.356909999600000",4.967000007630000
39,881,"585,879.872362000050000","7,910,712.880660000300000",4.793000221250000
40,880,"585,865.584833999980000","7,910,712.563160000400000",5.122000217440000
41,930,"585,783.193419000020000","7,910,711.928150000100000",5.030000209810000
42,921,"585,767.635888000020000","7,910,710.658149999600000",5.107999801640000
43,940,"585,723.185798999970000","7,910,709.864400000300000",5.241000175480000
44,936,"585,741.759586000000000","7,910,709.705649999900000",5.339000225070000
46,914,"585,800.655953999960000","7,910,708.435650000300000",5.106999874110000
47,923,"585,755.479620000000000","7,910,708.218770000200000",5.215000152590000
48,889,"585,818.213739000030000","7,910,707.641900000200000",5.067999839780000
49,922,"585,778.430910000000000","7,910,703.831890000000000",5.067999839780000
50,916,"585,790.337183000050000","7,910,703.038139999800000",5.079999923710000
51,920,"585,756.999616999990000","7,910,702.403140000100000",5.258999824520000
52,947,"585,694.928242999940000","7,910,701.926880000200000",4.901999950410000
53,874,"585,841.000000000000000","7,910,701.750000000000000",5.146999835970000
54,850,"585,880.666114000020000","7,910,701.609380000300000",4.921999931340000
55,878,"585,834.797652999990000","7,910,700.751170000100000",5.092000007630000
56,858,"585,856.218564999990000","7,910,700.021879999900000",5.118999958040000
57,876,"585,818.705865000030000","7,910,700.021879999900000",5.231999874110000
58,877,"585,826.325880000020000","7,910,699.386880000100000",5.047999858860000
59,849,"585,866.378585000060000","7,910,699.069380000200000",5.144000053410000
60,851,"585,884.285620999990000","7,910,697.735879999600000",4.994999885560000
61,913,"585,805.100962999980000","7,910,697.164370000400000",5.105999946590000
62,929,"585,783.193419000020000","7,910,697.164370000400000",5.051000118260000
